estado,x,y
Acre,-258,68
Alagoas,283,51
Amapá,20,230
Amazonas,-180,147
Bahia,170,17
Ceará,208,125
Espírito Santo,212,-93
Goiás,53,-44
Maranhão,115,127
Mato Grosso,-45,15
Mato Grosso Do Sul,-50,-92
Minas Gerais,110,-75
Pará,12,135
Paraíba,294,92
Paraná,19,-161
Pernambuco,294,72
Piauí,163,84
Rio De Janeiro,184,-138
Rio Grande Do Norte,292,110
Rio Grande Do Sul,-30,-238
Rondônia,-155,40
Roraima,-125,240
Santa Catarina,82,-201
São Paulo,50,-125
Sergipe,260,30
Tocantins,66,50
Distrito Federal,50,-20